LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
75,11700,1Fam,7,8,1,1,6,1959,1258,3,GasA,Y,1360,0,2006,209082.594192983
76,5063,1Fam,5,5,1,1,4,1906,876,3,GasA,Y,1888,0,2010,116032.087494839
78,8414,1Fam,7,6,2,0,4,2004,525,3,GasA,Y,1324,0,2009,173051.093775056
69,11250,1Fam,4,5,2,0,8,1934,1237,3,GasA,N,2084,0,2007,148739.894769719
85,15431,1Fam,8,5,2,0,5,1949,808,2,GasA,Y,1314,0,2008,199946.316126995
80,9549,TwnhsE,7,8,1,0,7,1885,1268,2,GasA,Y,1792,0,2008,184289.430596586
101,13478,1Fam,4,5,1,1,6,1993,864,4,GasA,Y,1250,0,2009,194016.836441534
98,13474,Duplex,5,5,1,1,6,2006,689,3,GasA,Y,902,0,2006,122286.442751695
75,14000,Duplex,6,8,2,0,8,1923,1086,3,GasW,Y,1668,0,2006,112744.441599784
80,9765,1Fam,6,6,1,1,5,1961,1260,3,GasA,Y,1098,0,2007,173948.635759126
43,7819,1Fam,6,5,2,1,5,1953,1310,3,Grav,Y,2172,0,2009,149453.456046191
44,11457,1Fam,5,7,1,0,5,1999,1444,4,GasA,Y,1111,0,2006,180843.495439239
100,13907,1Fam,6,5,1,0,7,1988,1058,3,GasA,Y,1505,0,2010,177588.474062565
44,13350,1Fam,5,5,1,1,7,1958,1604,3,GasA,Y,1208,0,2009,165042.555084464
49,7226,1Fam,7,6,1,0,5,1993,894,2,GasA,Y,1146,0,2006,190385.86739221
74,10240,1Fam,7,6,2,0,7,1947,1713,4,GasA,Y,1110,0,2009,192699.479933822
80,11639,1Fam,9,5,2,1,7,1964,1144,3,GasA,Y,864,0,2009,227464.589264138
70,10300,1Fam,8,6,2,0,5,1954,720,2,GasA,Y,1086,0,2008,182196.900023357
54,8125,1Fam,7,3,1,1,7,1955,686,4,GasA,Y,1234,0,2006,101704.281870382
90,8400,1Fam,5,6,3,0,5,1941,773,3,GasA,Y,1077,0,2009,156344.873943399
79,9600,1Fam,7,6,2,0,4,2005,1032,3,GasA,Y,1429,0,2009,191963.605968533
75,4251,1Fam,5,7,2,1,5,2006,0,3,GasA,Y,1911,0,2007,137906.677633441
34,13811,1Fam,6,7,1,0,6,1965,943,4,GasA,Y,1818,0,2006,153445.859340761
85,22950,2fmCon,5,5,2,1,9,1910,951,3,GasA,Y,832,0,2010,103273.769127847
72,8633,1Fam,7,6,1,0,9,2005,884,0,GasA,Y,1802,0,2009,198799.955966226
79,2117,1Fam,6,5,1,0,6,1965,520,3,GasA,Y,1446,0,2008,137842.517833357
47,8004,1Fam,5,5,1,1,8,1974,1468,2,GasA,Y,980,0,2008,200134.23478984
69,15750,Duplex,5,6,1,1,8,1923,1056,3,GasA,Y,2576,0,2009,198000.519846973
73,7227,1Fam,8,5,2,1,4,1998,1518,4,GasA,Y,1775,0,2007,225892.76554693
65,5330,Twnhs,5,7,1,0,4,1940,983,4,GasA,Y,1336,0,2007,125936.88454643
43,9000,TwnhsE,6,3,2,1,9,1972,0,2,GasA,Y,1602,0,2009,184732.841958935
63,8450,1Fam,4,5,2,0,7,1954,1364,3,GasA,Y,2365,0,2010,191937.819105235
75,34650,1Fam,6,7,1,0,6,2005,1252,2,GasA,Y,1431,512,2009,183344.9117122
122,7540,2fmCon,9,6,2,1,10,1950,853,3,GasA,Y,1704,0,2009,185316.981988249
80,8197,1Fam,5,6,2,0,6,1998,832,2,GasA,Y,1196,0,2009,163997.020689826
80,10628,1Fam,9,5,2,0,6,1957,777,4,GasA,Y,1944,0,2006,279311.584091736
74,8658,1Fam,6,5,1,0,6,1925,1237,2,GasA,Y,1646,0,2010,129153.717952248
97,9920,Duplex,5,3,2,0,6,1974,680,3,GasA,Y,1152,0,2010,87512.3604489932
65,8470,1Fam,5,8,1,0,6,1935,1484,2,GasA,Y,2287,0,2010,171605.765035774
60,7599,1Fam,7,6,2,1,8,1958,384,3,GasA,Y,899,0,2008,119559.966275585
69,8800,1Fam,9,3,2,0,3,1975,998,3,GasA,Y,2013,0,2009,260247.577255402
88,9920,1Fam,5,7,1,0,6,1951,536,4,GasA,Y,1440,0,2006,176452.220916872
55,11475,TwnhsE,7,7,2,0,5,1954,799,3,GasA,Y,1232,0,2006,172298.835642393
74,13891,1Fam,5,7,2,1,9,2003,715,3,GasA,Y,1478,0,2009,161525.959494917
67,9196,1Fam,4,6,1,0,6,1925,686,3,GasA,Y,864,0,2006,107494.361429223
50,10010,1Fam,7,5,2,2,5,1967,672,6,GasA,Y,1358,0,2006,161950.997621876
67,8197,1Fam,7,6,1,1,8,2007,1494,4,GasA,Y,1800,0,2010,280437.098860366
85,10918,1Fam,6,5,1,1,6,1950,680,3,GasA,Y,1158,0,2009,117311.884695895
74,8281,TwnhsE,8,5,1,1,6,1962,853,3,GasA,Y,825,0,2010,149439.907479176
40,8246,1Fam,7,6,1,0,6,2000,1494,3,GasA,Y,1414,0,2008,237166.278197851
43,7758,1Fam,6,5,2,1,5,1957,1078,3,GasA,Y,2646,0,2008,199371.355415709
64,8760,1Fam,5,6,1,0,6,1904,1026,2,GasA,Y,1358,0,2008,137163.010327581
63,8012,1Fam,8,5,1,0,6,2006,1952,3,GasA,N,1229,0,2010,268056.03025183
59,10000,1Fam,7,5,2,0,6,1999,1203,4,GasA,Y,1262,0,2008,158020.697515701
32,14230,1Fam,8,4,1,0,6,1979,540,4,GasA,Y,1217,0,2009,156825.344066903
67,1920,1Fam,8,5,2,0,5,2002,1358,3,GasA,Y,1232,0,2007,177336.913575912
50,13159,1Fam,6,7,1,1,5,1963,740,3,GasA,Y,1929,0,2008,185551.879811965
70,8120,Twnhs,5,5,2,0,7,1972,1372,3,GasA,N,1744,0,2008,138881.196761553
80,9158,1Fam,4,7,1,0,7,1993,768,2,GasA,Y,2069,0,2007,175791.129908792
47,8248,1Fam,7,4,2,0,8,1960,1234,3,GasA,N,1453,0,2008,154072.771260834
68,8544,1Fam,6,7,2,0,4,1963,928,3,GasA,Y,1306,0,2009,170872.402328724
21,9900,1Fam,6,5,2,1,7,1954,1440,3,GasA,Y,3140,0,2008,202426.626967315
73,7922,1Fam,6,5,1,1,6,2005,742,2,GasA,Y,904,0,2009,110408.272315989
60,8658,Duplex,5,7,2,0,5,2004,1428,3,GasA,Y,1291,0,2009,177299.908893055
34,9000,1Fam,4,5,1,0,5,2008,720,3,GasA,N,988,0,2006,136436.511777822
60,8544,1Fam,5,8,2,0,7,2003,1682,2,GasA,Y,1316,0,2009,172785.657097261
84,5000,1Fam,6,5,2,0,5,2004,793,3,GasA,N,1716,0,2010,172411.639249514
65,12704,1Fam,8,5,1,1,7,1982,1580,3,GasA,Y,1761,0,2008,203661.123645421
65,9600,TwnhsE,7,5,2,1,9,1998,1656,3,GasA,Y,2097,0,2007,247561.694121373
75,8400,Duplex,6,5,1,1,6,1970,756,3,GasA,Y,1416,0,2009,145410.815635787
60,14587,1Fam,7,9,1,0,5,2000,1200,3,GasA,Y,2142,0,2010,232078.118653673
72,8737,1Fam,8,5,2,0,4,1914,686,2,GasA,Y,960,0,2007,154033.597594963
75,8529,1Fam,10,8,1,0,10,1997,1337,2,GasA,Y,1269,0,2010,271736.636653119
75,9600,1Fam,4,5,2,1,6,1956,1604,4,GasA,Y,861,0,2006,168570.518437889
88,12378,1Fam,7,6,2,1,5,1908,864,3,GasA,N,1456,0,2010,119793.642197105
60,3880,1Fam,5,6,1,1,6,1996,918,2,GasA,Y,1426,0,2007,141929.191934522
74,13811,Duplex,9,5,2,0,6,1948,1157,3,GasA,Y,2069,0,2010,281835.696941921
50,16492,1Fam,5,5,2,1,6,1972,1143,2,GasA,Y,1563,0,2009,153051.052513533
72,7711,1Fam,7,7,2,0,4,2005,894,4,GasA,Y,1651,0,2007,199919.400956299
77,1491,1Fam,8,6,1,1,4,1954,1563,2,GasA,Y,1200,0,2009,234130.037129298
24,8640,1Fam,7,7,2,0,7,1966,1311,3,GasA,Y,1098,0,2006,149460.346946684
70,7800,1Fam,8,5,1,0,6,1960,936,4,GasA,Y,1385,0,2006,166961.648961258
100,12342,1Fam,5,5,1,0,7,1951,1777,3,GasA,Y,1425,0,2007,157353.035167034
85,7892,1Fam,8,7,1,1,6,1998,1364,3,GasA,Y,2364,0,2009,328856.028973615
70,11625,1Fam,7,5,1,0,8,1971,1453,3,GasA,Y,1414,0,2007,148629.625958508
70,10208,1Fam,5,5,2,1,8,2003,1453,3,GasA,Y,838,0,2009,214898.068015513
65,3982,1Fam,7,5,2,0,6,1941,1054,2,GasA,N,1733,0,2006,179003.899167669
80,8471,1Fam,6,5,2,0,6,2003,1277,2,GasA,N,1026,0,2006,124672.096601982
90,2448,1Fam,7,5,1,0,7,1973,1522,2,GasA,Y,1520,0,2009,198848.910524354
30,8765,1Fam,6,7,2,0,14,2006,847,3,GasA,Y,1709,0,2008,193716.92161948
50,3982,1Fam,7,6,1,0,5,1931,1262,2,GasA,Y,1574,0,2009,166678.9066757
59,4671,Twnhs,4,5,2,0,6,1980,941,3,GasA,Y,1489,0,2007,184117.206688514
68,11924,1Fam,9,5,2,1,4,1983,1444,6,GasA,Y,1118,0,2008,232800.691759611
78,10382,1Fam,7,6,1,0,5,1976,1268,3,GasA,Y,2324,0,2006,214987.935114261
66,10667,1Fam,8,5,1,0,4,1960,0,5,GasA,Y,1826,0,2007,206436.214791373
60,8405,1Fam,4,5,1,0,8,1880,1188,2,GasA,Y,1774,0,2006,99808.2347817693
60,3600,1Fam,5,6,2,1,5,1976,576,2,GasA,Y,1339,0,2008,129023.062804306
58,14191,1Fam,5,7,2,0,6,2007,1362,2,GasA,Y,1367,0,2010,222328.669416592
67,12615,1Fam,5,5,1,0,6,1977,894,3,GasA,Y,1118,0,2008,151003.853015827
42,7742,TwnhsE,10,6,1,1,7,2003,1056,4,GasA,Y,1252,0,2010,203800.792599819
32,1680,1Fam,10,7,1,0,8,2003,1643,3,GasA,Y,943,0,2006,271046.356318468
80,8816,1Fam,5,5,2,1,6,1940,1362,3,GasA,Y,1683,0,2009,139896.361233489
21,8640,1Fam,6,5,1,0,10,1995,993,2,GasA,Y,1489,0,2006,135341.158093195
80,11694,1Fam,7,6,2,0,9,1910,1010,2,GasA,Y,1218,0,2007,135122.156421133
75,10300,1Fam,5,6,2,0,5,1919,783,3,GasA,Y,1120,0,2006,104791.178364169
50,3922,1Fam,4,6,2,1,4,1972,1164,2,GasA,Y,1372,0,2009,167826.788727948
75,14585,1Fam,7,5,1,0,6,1972,894,2,GasA,Y,520,0,2006,155305.065229981
68,10624,1Fam,6,6,1,1,10,1975,1034,3,GasA,Y,900,0,2006,132639.014731451
60,10420,1Fam,5,5,2,0,6,1924,3138,3,GasA,Y,1266,0,2007,120918.817152525
60,7590,1Fam,6,5,1,0,5,2006,1442,4,GasA,Y,1494,0,2006,203658.471208127
33,12508,Duplex,7,7,1,0,8,2006,1064,4,GasA,Y,864,0,2008,168534.418520416
95,7892,1Fam,6,5,2,0,7,1939,1149,3,GasA,Y,1477,0,2008,146999.126158495
74,22950,1Fam,5,5,2,0,5,2006,817,4,GasA,Y,900,0,2010,119248.902341056
82,2001,TwnhsE,8,5,2,1,8,1977,832,2,GasA,Y,1336,0,2007,191414.786550384
81,8121,1Fam,8,5,2,1,6,2004,804,3,GasA,Y,754,0,2007,175552.480267661
107,8765,1Fam,5,5,1,0,7,1920,2042,3,GasA,Y,938,0,2006,137968.591549437
67,10708,1Fam,6,5,2,0,7,1993,969,3,GasA,Y,1391,0,2006,170757.11272886
55,10264,TwnhsE,6,5,1,1,11,1956,796,2,GasA,Y,1252,0,2006,126159.467260032
60,12030,1Fam,6,9,2,1,6,1997,1127,4,GasA,Y,1196,0,2007,154309.259309357
95,9591,1Fam,4,5,3,1,5,1976,1340,2,GasA,Y,1242,0,2009,155065.440867234
50,12099,1Fam,6,5,1,0,5,1959,894,3,GasA,Y,968,0,2009,139890.576207521
67,19900,1Fam,7,6,1,1,5,1977,847,2,GasA,Y,3279,0,2007,223877.612081655
60,1680,1Fam,4,7,2,0,7,2006,936,4,GasA,Y,1750,0,2009,170854.819470851
65,4435,TwnhsE,6,5,1,1,6,2003,819,2,GasA,Y,2320,0,2010,186406.098211854
61,21872,1Fam,4,5,1,0,6,1955,1673,3,GasA,Y,630,0,2006,123518.068173174
100,14948,1Fam,6,7,1,1,7,1984,1705,3,GasA,N,1505,0,2006,203466.778851992
40,8741,1Fam,5,6,1,0,6,1957,360,3,GasA,Y,2183,0,2006,138152.00339334
99,8899,1Fam,7,5,2,1,7,2007,540,6,GasA,Y,1050,0,2007,175806.444032132
85,10896,1Fam,9,6,1,1,7,2004,1057,4,GasA,Y,1526,0,2006,236293.549733708
85,9000,1Fam,5,8,2,0,6,2006,728,2,GasA,Y,901,0,2009,177255.989207315
60,21453,1Fam,6,7,1,1,7,1961,1390,3,GasA,Y,1479,0,2009,177706.110645194
86,9000,1Fam,5,5,2,0,8,2005,0,3,GasW,Y,2149,0,2010,154675.836997326
60,8125,1Fam,6,5,2,1,10,1991,720,3,GasA,Y,980,0,2010,163502.939637098
81,9760,1Fam,5,6,2,1,10,1965,630,1,GasA,N,988,0,2007,82362.0267256362
60,8750,TwnhsE,8,7,2,0,8,1960,1002,3,GasA,Y,1434,0,2009,162959.570362423
99,9742,1Fam,5,5,2,1,8,1937,1340,1,GasA,Y,988,0,2009,121656.844424151
70,10778,1Fam,4,5,2,0,7,1976,1195,3,GasA,Y,789,0,2008,97082.1442180602
82,11409,TwnhsE,5,5,1,0,6,1993,960,2,GasA,Y,1279,0,2008,110436.023190147
95,8470,1Fam,8,5,2,0,7,1957,3138,3,GasA,Y,1464,0,2010,204451.171817389
85,14145,1Fam,6,5,1,0,9,1927,793,3,GasA,Y,1385,0,2008,147136.906879447
63,25286,TwnhsE,7,6,2,0,6,1977,907,3,GasA,Y,1360,0,2007,193630.206253625
50,21453,Twnhs,6,6,2,0,5,1965,864,1,GasA,Y,1120,0,2008,148157.612337193
85,8197,1Fam,7,6,2,1,7,1940,1088,2,GasA,Y,1728,0,2008,210999.780728161
90,11096,1Fam,6,5,2,0,6,2003,1561,3,GasA,Y,924,0,2007,188621.081506968
63,8314,1Fam,6,5,2,1,7,1971,816,3,GasA,Y,1285,0,2010,130037.232160209
60,8244,1Fam,6,7,1,0,10,1971,912,2,GasA,Y,1319,0,2010,150948.541724001
55,8125,1Fam,7,5,2,0,5,1923,1720,3,GasA,Y,2263,0,2009,176916.85688634
90,10918,1Fam,9,5,2,0,6,2007,1218,3,GasA,Y,2134,0,2010,307202.021376317
43,10141,1Fam,5,7,1,1,6,2003,819,3,GasA,Y,1056,0,2008,175537.389702821
86,14226,1Fam,5,7,1,0,7,1920,768,1,GasA,Y,1639,0,2009,176467.878536082
60,8450,1Fam,5,8,2,0,6,2005,1057,3,GasA,Y,1456,0,2008,197107.896010717
63,7931,1Fam,5,4,2,0,5,2004,811,3,GasA,Y,1067,0,2006,134449.745967845
52,14850,1Fam,6,5,1,1,8,1963,1478,3,GasA,Y,1720,0,2007,190094.371429118
61,8712,2fmCon,5,5,1,1,9,1966,864,3,GasA,Y,1496,0,2010,123528.460357598
100,12342,1Fam,5,5,1,0,8,2006,1127,2,GasA,Y,1244,0,2006,164657.758783522
82,2308,2fmCon,5,5,2,1,7,1967,1734,3,GasA,N,1232,0,2006,145395.368170103
24,8472,1Fam,7,5,2,0,6,2005,588,2,GasA,Y,1632,0,2006,185385.393659005
85,8125,1Fam,6,5,1,0,5,2005,1063,3,GasA,N,1056,0,2007,145709.233791526
45,8160,1Fam,7,5,1,1,5,1976,1099,4,GasA,Y,838,0,2006,150873.910608532
44,7000,1Fam,4,6,2,0,9,1971,1490,3,GasA,Y,1947,0,2007,161431.305283069
80,5232,1Fam,5,6,1,0,12,1978,1728,3,GasA,Y,1682,0,2009,199727.762283335
57,7200,1Fam,8,7,1,1,7,2004,901,3,GasA,Y,1844,0,2007,212674.40947541
90,11275,1Fam,9,5,1,0,6,1993,1389,2,Grav,Y,1558,0,2007,223040.379661084
71,8400,1Fam,7,5,1,1,4,1980,864,2,GasA,Y,2466,0,2006,197631.33516991
34,4928,Twnhs,5,5,1,1,6,1964,1419,3,GasA,Y,1470,0,2009,144755.17627688
74,8849,1Fam,6,5,2,0,6,1946,1698,2,GasA,Y,1327,0,2009,148473.394309349
94,9020,1Fam,7,6,2,0,6,2002,1008,3,GasA,Y,894,0,2007,161401.753755331
60,12735,Twnhs,5,5,1,1,5,2005,1008,3,GasA,Y,1044,0,2007,109002.449156953
121,11457,2fmCon,5,7,2,0,8,1988,992,2,GasA,Y,1664,0,2008,168231.111000202
55,11120,TwnhsE,5,5,2,1,6,2005,1196,3,GasA,Y,1709,0,2007,145852.370059983
67,3010,1Fam,7,7,1,0,7,1953,1086,2,GasA,Y,958,0,2008,153935.087311754
77,11851,1Fam,8,6,1,0,6,1960,849,3,GasA,Y,2060,0,2006,258823.454773345
75,8529,1Fam,5,6,1,0,7,2005,990,4,GasA,Y,1844,0,2009,193025.981653839
68,5500,1Fam,6,4,2,0,7,2007,2392,4,GasA,Y,943,0,2009,182404.078659382
62,7500,1Fam,6,4,1,1,10,1969,1252,3,GasA,Y,1479,0,2007,120167.872616929
87,8100,Duplex,8,7,2,0,9,1953,872,3,GasA,Y,902,0,2006,180120.174083723
88,11764,1Fam,7,5,2,0,7,1978,1164,3,GasA,Y,969,0,2009,156782.724990977
96,11717,Duplex,7,5,2,1,8,1974,1768,3,GasA,Y,2000,0,2008,195438.054327444
65,39104,1Fam,7,7,2,0,8,2005,1158,3,GasA,Y,1661,0,2009,236866.392395703
70,9416,1Fam,5,5,2,0,7,1958,720,3,GasA,Y,1041,0,2010,125215.79892722
63,14115,1Fam,6,5,1,0,5,2007,864,3,GasA,Y,894,0,2007,145144.883006796
70,10041,1Fam,6,6,1,0,9,1959,1050,3,GasA,Y,1766,0,2007,163488.327298102
70,5520,1Fam,8,5,1,0,8,2001,1097,3,GasA,N,1140,0,2008,189720.94786475
87,2001,1Fam,7,5,2,0,5,1965,1040,1,GasA,Y,1111,0,2009,153203.073216781
65,10625,1Fam,6,5,1,0,6,1969,1028,2,GasA,Y,1602,0,2009,158644.255407379
60,5063,1Fam,6,5,1,0,5,1941,1262,3,GasA,Y,1786,0,2010,114011.500360571
60,21695,1Fam,6,5,2,0,5,1920,1203,3,GasA,Y,1056,0,2008,93436.8731673969
64,9000,1Fam,9,5,2,1,6,1976,689,3,GasA,Y,1788,0,2008,233725.650229316
80,8100,TwnhsE,6,4,2,1,8,1967,1092,3,GasA,Y,2614,0,2009,203702.370647335
60,12155,1Fam,4,5,1,0,5,1925,1484,3,GasA,Y,1117,0,2010,133450.909189644
99,10007,1Fam,7,7,1,1,5,2005,912,2,GasA,Y,1768,0,2010,224846.012358158
70,8536,1Fam,7,6,2,1,6,1979,1479,4,GasA,Y,2034,0,2006,215029.588663189
107,9525,1Fam,5,5,2,1,5,1930,780,2,GasW,Y,2945,0,2009,133704.247911366
78,6820,1Fam,8,5,2,0,6,1987,793,1,GasA,Y,1344,0,2008,169346.282732247
50,9060,Duplex,9,5,2,1,6,1946,1484,3,GasA,Y,1430,0,2006,256504.464704065
50,9291,1Fam,7,5,1,0,6,2006,861,1,GasA,Y,1682,0,2007,164838.018324019
78,8120,1Fam,7,5,2,0,6,1928,802,4,GasA,Y,1126,0,2006,166735.760508825
21,10029,TwnhsE,8,4,1,1,8,1977,965,3,GasA,Y,1148,0,2006,129825.996401476
50,7200,1Fam,6,5,2,0,8,1915,0,3,GasA,Y,1872,0,2010,134869.523141418
95,11250,2fmCon,5,5,1,0,6,1999,1029,3,GasA,Y,864,0,2007,151992.213566702
70,1920,Twnhs,7,6,2,0,6,2006,780,2,GasA,N,1376,0,2009,156974.880786194
78,12168,1Fam,8,7,2,0,5,2005,1107,3,GasA,Y,2295,0,2006,291108.283098569
21,11616,1Fam,8,6,2,1,5,2006,1040,3,GasA,Y,1656,0,2006,228739.891927494
34,14559,1Fam,6,7,2,0,6,1925,1362,3,GasA,Y,1593,0,2007,209772.65550063
45,13650,1Fam,5,6,2,0,9,2003,750,1,GasA,Y,1456,0,2009,179847.884837835
84,7800,1Fam,6,5,1,0,6,1900,1324,3,GasA,Y,2398,0,2007,171342.460630669
100,10175,1Fam,4,5,1,1,5,1968,1148,2,GasA,Y,1344,0,2009,164462.76882836
80,9600,1Fam,5,5,1,0,3,1936,1218,2,GasA,Y,2473,0,2008,193998.284051249
82,9206,1Fam,8,5,2,0,8,1980,1156,2,GasA,Y,1456,0,2006,182616.541806813
60,28698,Twnhs,6,5,2,1,10,2001,825,3,GasW,Y,1535,0,2007,184098.202569938
115,18450,1Fam,4,5,1,1,4,1937,864,3,GasA,Y,1236,0,2009,166157.71857062
60,21695,Duplex,3,6,2,0,8,1966,3138,3,GasA,Y,1505,0,2008,153259.670886568
83,14859,1Fam,5,5,1,1,8,1955,880,3,GasA,Y,1392,0,2006,181995.425160277
80,12456,1Fam,6,5,2,0,8,1976,1257,3,GasA,Y,1077,0,2010,165360.928522013
70,45600,TwnhsE,6,6,1,0,5,2004,720,2,GasA,Y,768,0,2007,160193.284991397
24,3675,1Fam,6,5,2,0,8,1977,720,3,GasA,Y,1486,0,2008,146498.092004372
87,16492,1Fam,5,5,2,2,3,1961,702,3,GasA,Y,1167,0,2009,108976.496119223
